RX Date/Time,Group/Time,Group/New Plot
2025/11/16 23:44:46::305,665165429,283.712
2025/11/16 23:44:46::305,665165432,280.488
2025/11/16 23:44:46::305,665165435,280.488
2025/11/16 23:44:46::305,665165437,281.294
2025/11/16 23:44:46::305,665165440,280.488
2025/11/16 23:44:46::305,665168371,240.994
2025/11/16 23:44:46::305,665168373,249.054
2025/11/16 23:44:46::305,665168376,255.502
2025/11/16 23:44:46::305,665168379,260.338
2025/11/16 23:44:46::305,665168381,265.174
2025/11/16 23:44:46::305,665168384,267.592
2025/11/16 23:44:46::305,665168386,270.816
2025/11/16 23:44:46::305,665168389,272.428
2025/11/16 23:44:46::305,665168392,274.040
2025/11/16 23:44:46::305,665168394,279.682
2025/11/16 23:44:46::305,665168397,275.652
2025/11/16 23:44:46::305,665168399,278.070
2025/11/16 23:44:46::305,665168402,278.876
2025/11/16 23:44:46::305,665168405,278.876
2025/11/16 23:44:46::305,665168407,279.682
2025/11/16 23:44:46::305,665168410,278.876
2025/11/16 23:44:46::305,665168413,280.488
2025/11/16 23:44:46::305,665168415,273.234
2025/11/16 23:44:46::305,665168418,279.682
2025/11/16 23:44:46::305,665168420,284.518
2025/11/16 23:44:46::305,665171392,233.740
2025/11/16 23:44:46::305,665171394,242.606
2025/11/16 23:44:46::305,665171397,245.830
2025/11/16 23:44:46::305,665171400,256.308
2025/11/16 23:44:46::305,665171402,261.144
2025/11/16 23:44:46::305,665171405,262.756
2025/11/16 23:44:46::305,665171407,267.592
2025/11/16 23:44:46::305,665171410,268.398
2025/11/16 23:44:46::305,665171413,275.652
2025/11/16 23:44:46::305,665171415,272.428
2025/11/16 23:44:46::305,665171418,274.040
2025/11/16 23:44:46::305,665171421,274.040
2025/11/16 23:44:46::305,665171423,275.652
2025/11/16 23:44:46::305,665171426,277.264
2025/11/16 23:44:46::305,665171429,278.070
2025/11/16 23:44:46::305,665171431,280.488
2025/11/16 23:44:46::305,665171434,273.234
2025/11/16 23:44:46::305,665171436,282.100
2025/11/16 23:44:46::305,665171439,274.846
2025/11/16 23:44:46::305,665171442,280.488
2025/11/16 23:44:46::305,665174392,208.754
2025/11/16 23:44:46::305,665174395,221.650
2025/11/16 23:44:46::305,665174397,232.128
2025/11/16 23:44:46::305,665174400,241.800
2025/11/16 23:44:46::305,665174403,249.054
2025/11/16 23:44:46::305,665174405,257.114
2025/11/16 23:44:46::305,665174408,254.696
2025/11/16 23:44:46::305,665174411,262.756
2025/11/16 23:44:46::305,665174413,265.980
2025/11/16 23:44:46::305,665174416,266.786
2025/11/16 23:44:46::305,665174419,268.398
2025/11/16 23:44:46::306,665174421,270.816
2025/11/16 23:44:46::306,665174424,271.622
2025/11/16 23:44:46::306,665174426,271.622
2025/11/16 23:44:46::306,665174429,273.234
2025/11/16 23:44:46::306,665174432,274.040
2025/11/16 23:44:46::306,665174434,274.040
2025/11/16 23:44:46::306,665174437,274.846
2025/11/16 23:44:46::306,665174440,274.846
2025/11/16 23:44:46::306,665174442,285.324
2025/11/16 23:44:46::307,665177391,211.172
2025/11/16 23:44:46::308,665177393,223.262
2025/11/16 23:44:46::308,665177396,234.546
2025/11/16 23:44:46::308,665177399,243.412
2025/11/16 23:44:46::308,665177401,249.860
2025/11/16 23:44:46::308,665177404,252.278
2025/11/16 23:44:46::308,665177407,251.472
2025/11/16 23:44:46::308,665177409,257.920
2025/11/16 23:44:46::309,665177412,268.398
2025/11/16 23:44:46::309,665177414,268.398
2025/11/16 23:44:46::309,665177417,269.204
2025/11/16 23:44:46::309,665177420,271.622
2025/11/16 23:44:46::309,665177422,270.816
2025/11/16 23:44:46::309,665177425,272.428
2025/11/16 23:44:46::309,665177428,274.846
2025/11/16 23:44:46::309,665177430,274.846
2025/11/16 23:44:46::309,665177433,274.846
2025/11/16 23:44:46::309,665177435,276.458
2025/11/16 23:44:46::309,665177438,275.652
2025/11/16 23:44:46::309,665177441,276.458
